full_name,jersey_number,id,first_name,last_name,position,primary_position,played,active,starter,sr_id,team,opp,year,home_pts,away_pts,W/L,statistics.minutes,statistics.field_goals_made,statistics.field_goals_att,statistics.field_goals_pct,statistics.three_points_made,statistics.three_points_att,statistics.three_points_pct,statistics.two_points_made,statistics.two_points_att,statistics.two_points_pct,statistics.blocked_att,statistics.free_throws_made,statistics.free_throws_att,statistics.free_throws_pct,statistics.offensive_rebounds,statistics.defensive_rebounds,statistics.rebounds,statistics.assists,statistics.turnovers,statistics.steals,statistics.blocks,statistics.assists_turnover_ratio,statistics.personal_fouls,statistics.tech_fouls,statistics.flagrant_fouls,statistics.pls_min,statistics.points,injuries,statistics.double_double,statistics.triple_double,statistics.effective_fg_pct,statistics.efficiency,statistics.efficiency_game_score,statistics.fouls_drawn,statistics.offensive_fouls,statistics.points_in_paint,statistics.points_in_paint_att,statistics.points_in_paint_made,statistics.points_in_paint_pct,statistics.points_off_turnovers,statistics.true_shooting_att,statistics.true_shooting_pct,statistics.coach_ejections,statistics.coach_tech_fouls,statistics.second_chance_pts,statistics.second_chance_pct,fouled_out,on_court,reference,statistics.tech_fouls_non_unsportsmanlike,statistics.fast_break_pts,statistics.fast_break_att,statistics.fast_break_made,statistics.fast_break_pct,statistics.defensive_rating,statistics.offensive_rating,statistics.minus,statistics.plus,statistics.defensive_rebounds_pct,statistics.offensive_rebounds_pct,statistics.rebounds_pct,statistics.steals_pct,statistics.turnovers_pct,statistics.second_chance_att,statistics.second_chance_made
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Heat,2014-12-25T22:00:00+00:00,101,91,W,40:02,9,16,56.3,2,8,25.0,7,8,0.875,0,10,18,55.6,0,4,4,8,4,0,0,2.0,1,1,0,-9.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Magic,2014-12-27T00:00:00+00:00,89,98,L,36:56,10,20,50.0,0,5,0.0,10,15,0.667,1,9,11,81.8,0,5,5,8,4,2,2,2.0,1,1,0,7.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,,,,sr:player:608028,Cavaliers,Hawks,2014-12-31T00:30:00+00:00,109,101,W,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,,0,"[{'id': '10e4a885-b2d1-49a8-be7b-1c8f1d7b8bc0', 'comment': ""James is questionable for Tuesday's (12/30) game."", 'desc': 'Knee', 'status': 'Day To Day', 'start_date': '2014-12-30', 'update_date': '2014-12-30'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,,,,sr:player:608028,Cavaliers,Hornets,2015-01-03T00:00:00+00:00,87,91,L,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,,0,"[{'id': '10e4a885-b2d1-49a8-be7b-1c8f1d7b8bc0', 'comment': 'James is now expected to miss two weeks to heal his injured knee and back.', 'desc': 'Knee/Back', 'status': 'Out', 'start_date': '2014-12-30', 'update_date': '2015-01-01'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,,,,sr:player:608028,Cavaliers,76ers,2015-01-06T00:00:00+00:00,95,92,W,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,,0,"[{'id': '10e4a885-b2d1-49a8-be7b-1c8f1d7b8bc0', 'comment': 'James is now expected to miss two weeks to heal his injured knee and back.', 'desc': 'Knee/Back', 'status': 'Out', 'start_date': '2014-12-30', 'update_date': '2015-01-01'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,,,,sr:player:608028,Cavaliers,Warriors,2015-01-10T03:30:00+00:00,112,94,W,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,,0,"[{'id': '10e4a885-b2d1-49a8-be7b-1c8f1d7b8bc0', 'comment': ""The team hopes James can return in time for Thursday's game (1/15) against the Los Angeles Lakers."", 'desc': 'Knee/Back', 'status': 'Out', 'start_date': '2014-12-30', 'update_date': '2015-01-09'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,,,,sr:player:608028,Cavaliers,Kings,2015-01-12T02:00:00+00:00,103,84,W,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,,0,"[{'id': '10e4a885-b2d1-49a8-be7b-1c8f1d7b8bc0', 'comment': ""James will not play Sunday (1/11), but could possibly return for Tuesday's (1/13) game."", 'desc': 'Knee/Back', 'status': 'Out', 'start_date': '2014-12-30', 'update_date': '2015-01-11'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Suns,2015-01-14T02:00:00+00:00,107,100,W,36:41,11,18,61.1,3,8,37.5,8,10,0.8,0,8,13,61.5,1,6,7,5,5,1,0,1.0,3,0,0,4.0,33,"[{'id': '10e4a885-b2d1-49a8-be7b-1c8f1d7b8bc0', 'comment': 'James is a game-time decision Tuesday (1/13).', 'desc': 'Knee/Back', 'status': 'Out', 'start_date': '2014-12-30', 'update_date': '2015-01-13'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Clippers,2015-01-17T03:30:00+00:00,121,126,L,42:29,11,23,47.8,3,8,37.5,8,15,0.533,0,7,12,58.3,0,11,11,7,9,3,0,0.78,4,0,0,8.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Pistons,2015-01-28T00:30:00+00:00,95,103,L,35:57,11,24,45.8,0,4,0.0,11,20,0.55,2,10,11,90.9,0,6,6,7,4,1,0,1.75,3,0,0,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
