primary_position,team,opp,year,statistics.points,day,month,days_rest,home/away,opp_points_against_avg,opp_drebounds_avg,opp_blocks_avg,opp_steals_avg,opp_fgm_against_avg,opp_point_agains_avg,minutes_5gavg,field_goals_made_5gavg,field_goals_att_5gavg,field_goals_pct_5gavg,three_points_made_5gavg,three_points_att_5gavg,three_points_pct_5gavg,two_points_made_5gavg,two_points_att_5gavg,two_points_pct_5gavg,blocked_att_5gavg,free_throws_made_5gavg,free_throws_att_5gavg,free_throws_pct_5gavg,offensive_rebounds_5gavg,defensive_rebounds_5gavg,rebounds_5gavg,assists_5gavg,turnovers_5gavg,steals_5gavg,blocks_5gavg,assists_turnover_ratio_5gavg,personal_fouls_5gavg,tech_fouls_5gavg,flagrant_fouls_5gavg,pls_min_5gavg,points_5gavg
4,1,18,2023,21,16,2,8.0,1,0,33.57,4.61,8.34,0,110.7,36.619628807163956,10.825542747931372,21.00343261823057,52.08027166754708,2.1481921368377437,6.659200709716423,31.545803233761557,8.67735061109363,14.344231908514146,61.87062485185383,0.2824393825499643,5.194443284997043,7.244149008112362,75.6143589870696,0.6805094194411683,7.335913497571397,8.016422917012566,6.86222851552049,3.505478195925978,0.7574250712074359,0.14974721351124912,2.1076860940528706,1.79754703224578,1.1781102186000017e-06,5.808734560488593e-48,6.089736951127096,28.993720917697534
4,1,27,2023,13,24,2,8.0,1,0,34.56,4.6,6.98,0,115.2,33.67288864214919,9.687662824379412,19.60102978546917,49.700081500264126,1.9044576410513232,6.057760212914927,31.065740970128466,7.783205183328089,13.543269572554243,58.85318745555615,0.3647318147649893,4.918332985499113,6.793244702433708,74.02230769612089,0.9041528258323505,6.820774049271419,7.724926875103769,6.258668554656147,3.1516434587777935,0.6472275213622307,0.18492416405337472,2.2535058282158618,1.799264109673734,3.534330655800006e-07,1.742620368146578e-48,6.7269210853381285,26.19811627530926
4,1,14,2023,26,26,2,2.0,0,0,33.22,4.95,6.87,0,115.6,33.33253325931142,9.206298847313825,19.74030893564075,46.97002445007924,1.691337292315397,6.017328063874477,27.65972229103854,7.514961554998427,13.722980871766273,56.35195623666684,0.6694195444294968,5.255499895649734,7.3579734107301125,69.54069230883627,1.1112458477497051,6.6662322147814255,7.777478062531131,5.517600566396844,3.045493037633338,0.7541682564086691,0.3354772492160124,2.1110517484647593,2.21977923290212,1.0602991967400018e-07,5.227861104439735e-49,7.478076325601439,25.35943488259278
3,1,2,2023,19,26,3,2.0,0,0,32.65,4.8,7.78,0,113.7,31.81642664446009,8.501889654194148,18.242092680692227,47.411007335023776,1.4874011876946192,5.305198419162343,24.63591668731156,7.014488466499529,12.936894261529881,56.539586871000054,0.760825863328849,5.4966499686949195,7.387392023219034,71.10820769265088,1.3133737543249113,6.339869664434428,7.653243418759339,4.875280169919053,3.4336479112900014,0.7862504769226007,0.3806431747648037,1.7323155245394282,2.345933769870636,3.180897590220006e-08,1.5683583313319207e-49,8.96342289768043,23.987830464777833
4,1,2,2023,25,30,3,3.0,0,0,32.65,4.8,7.78,0,113.7,30.98826132667136,7.870566896258245,17.65262780420767,45.80730220050713,1.0062203563083858,4.6715595257487035,19.052775006193468,6.864346539949858,12.981068278458965,55.47587606130001,0.7882477589986547,5.008994990608476,6.55621760696571,74.37846230779527,1.7940121262974733,5.961960899330328,7.755973025627802,4.822584050975716,3.5500943733870005,0.6558751430767802,0.3941929524294411,1.6536946573618287,2.243780130961191,9.54269277066002e-09,4.705074993995763e-50,11.509026869304128,21.75634913943335
4,1,25,2023,18,1,4,2.0,0,0,34.23,6.06,7.89,0,106.5,31.197145064668078,7.681170068877473,18.1757883412623,43.478190660152144,1.0018661068925159,4.201467857724611,22.03983250185804,6.679303961984957,13.97432048353769,49.51476281839001,0.7964743276995964,4.302698497182543,5.466865282089714,76.05953869233858,2.078203637889242,6.268588269799098,8.34679190768834,4.806775215292715,3.4450283120161003,0.756762542923034,0.5382578857288323,1.7001083972085491,2.2131340392883576,2.8628078311980065e-09,1.411522498198729e-50,10.73270806079124,20.666904741830006
4,1,21,2023,18,2,4,1.0,0,0,33.99,4.57,7.79,0,113.2,31.68447685273376,8.044351020663242,18.052736502378693,45.49545719804564,0.8605598320677548,4.200440357317383,20.275949750557412,7.183791188595487,13.852296145061308,53.634428845517,0.6589422983098789,4.090809549154763,5.000059584626914,83.56386160770157,2.0234610913667725,6.640576480939729,8.664037572306503,5.222032564587814,3.27350849360483,0.7870287628769101,0.7214773657186496,2.694032519162565,2.063940211786507,8.588423493594021e-10,4.234567494596187e-51,10.639812418237371,21.040071422549
4,1,10,2023,37,5,4,2.0,0,0,33.23,5.59,6.55,0,120.5,32.0570097224868,8.713305306198972,18.57582095071361,47.276637159413696,1.0981679496203265,4.760132107195215,21.60878492516722,7.615137356578646,13.815688843518393,56.52232865365511,0.3376826894929637,4.167242864746429,4.720017875388074,89.81915848231047,1.5870383274100317,6.752172944281919,8.339211271691951,5.766609769376344,3.502052548081449,0.796108628863073,0.7764432097155949,3.0202097557487697,1.739182063535952,2.5765270480782065e-10,1.2703702483788564e-51,9.631943725471212,22.6920214267647
4,1,5,2023,33,6,4,1.0,1,0,32.94,5.04,7.8,0,112.3,32.94810291674604,9.893991591859692,19.992746285214082,49.28099114782411,1.729450384886098,5.488039632158564,31.346635477550166,8.164541206973594,14.504706653055518,57.05269859609653,0.24130480684788913,3.630172859423929,4.216005362616422,87.84574754469314,1.3161114982230095,6.9256518832845755,8.241763381507585,6.489982930812904,3.7106157644244346,0.9388325886589219,0.9329329629146784,3.1978629267246315,1.3617546190607857,7.72958114423462e-11,3.81111074513657e-52,7.369583117641364,25.147606428029412
4,1,23,2023,16,8,4,2.0,1,0,33.94,6.0,7.44,0,113.2,32.94709754169048,9.688197477557907,20.417823885564225,46.94229734434723,2.1988351154658297,6.266411889647569,35.61199064326505,7.489362362092079,14.151411995916655,52.82980957882896,0.49239144205436675,3.0490518578271786,3.7848016087849268,80.25372426340795,0.814833449466903,7.1176955649853735,7.932529014452276,6.986994879243872,3.9131847293273303,0.7016497765976766,0.9798798888744036,3.27915887801739,1.1085263857182357,2.3188743432703866e-11,1.1433332235409712e-52,5.010874935292409,24.624281928408823
