year,game_id,game_date,home_team,away_team,home_name,away_name,home_pts,away_pts
2014,1805f4e4-a7e8-483d-9d66-6e103d6d515e,2014-11-01T02:30:00Z,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,Los Angeles Lakers,Los Angeles Clippers,111,118
2014,13cda0ad-dcb8-49f1-867f-6c3a5a1f6507,2014-11-01T23:00:00Z,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,New Orleans Pelicans,Dallas Mavericks,104,109
2014,8f5e8700-8985-4a1e-8075-34e0cbd6eef1,2014-11-01T23:00:00Z,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,Washington Wizards,Milwaukee Bucks,108,97
2014,9bca7c0e-5a5a-4f1a-b3cb-8c4aa42c5ff0,2014-11-01T23:00:00Z,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,Philadelphia 76ers,Miami Heat,96,114
2014,a4728e93-270d-4cea-ac89-385d140b73f4,2014-11-01T23:00:00Z,583ed157-fb46-11e1-82cb-f4ce4684ea4c,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,Orlando Magic,Toronto Raptors,95,108
2014,cf3059dd-98d1-4fd1-a294-6e6781dd78a2,2014-11-01T23:00:00Z,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,583eca88-fb46-11e1-82cb-f4ce4684ea4c,Charlotte Hornets,Memphis Grizzlies,69,71
2014,1e7c4146-8cdf-40cb-9135-b5a6a2cb0f89,2014-11-01T23:30:00Z,583ec928-fb46-11e1-82cb-f4ce4684ea4c,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,Detroit Pistons,Brooklyn Nets,90,102
2014,727d1103-3c61-4c6b-8c1e-3897b3928322,2014-11-01T23:30:00Z,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,Atlanta Hawks,Indiana Pacers,102,92
2014,249f2fe9-6fbb-4cb6-a4b4-d5695235ab38,2014-11-02T00:00:00Z,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,Minnesota Timberwolves,Chicago Bulls,105,106
2014,2fc6a2f4-084d-41c3-811f-0a52f7c38b80,2014-11-02T00:00:00Z,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,Houston Rockets,Boston Celtics,104,90
2014,5b86e1dd-39d5-4732-9dd2-9f9a65df7dd8,2014-11-02T00:00:00Z,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,583ed102-fb46-11e1-82cb-f4ce4684ea4c,Oklahoma City Thunder,Denver Nuggets,102,91
2014,21c1e353-997e-47ef-9f47-a212ac87b519,2014-11-02T01:00:00Z,583ece50-fb46-11e1-82cb-f4ce4684ea4c,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,Utah Jazz,Phoenix Suns,118,91
2014,402bd4f9-33de-4ae2-92a6-565a35371f63,2014-11-02T02:30:00Z,583ec825-fb46-11e1-82cb-f4ce4684ea4c,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,Golden State Warriors,Los Angeles Lakers,127,104
2014,4e7b9548-5e8c-436b-a969-054ec24a5b7e,2014-11-02T20:30:00Z,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,Los Angeles Clippers,Sacramento Kings,92,98
2014,66fcbc0c-6ef1-47d2-ad03-2a70a180b4ea,2014-11-02T23:00:00Z,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,Miami Heat,Toronto Raptors,107,102
2014,da87f70e-3caa-43a6-8143-b48eb3218e62,2014-11-03T00:30:00Z,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,New York Knicks,Charlotte Hornets,96,93
2014,bd34a425-3080-4f7a-854a-ab7145a9bc4f,2014-11-03T02:00:00Z,583ed056-fb46-11e1-82cb-f4ce4684ea4c,583ec825-fb46-11e1-82cb-f4ce4684ea4c,Portland Trail Blazers,Golden State Warriors,90,95
2014,1fc2e949-df7a-4fb0-bca5-b0c12ade5a9c,2014-11-04T00:00:00Z,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,Philadelphia 76ers,Houston Rockets,93,104
2014,9ccf44bd-7295-422e-ae09-7461145a4971,2014-11-04T00:30:00Z,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,Brooklyn Nets,Oklahoma City Thunder,116,85
2014,68aa919d-7606-47b4-8874-b01609b17423,2014-11-04T01:00:00Z,583eca88-fb46-11e1-82cb-f4ce4684ea4c,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,Memphis Grizzlies,New Orleans Pelicans,93,81
2014,7193932a-168e-4526-8e45-b6caa5e78723,2014-11-04T01:30:00Z,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,Dallas Mavericks,Boston Celtics,118,113
2014,202d6a5d-7852-4ea7-ab3c-6131697db156,2014-11-04T02:00:00Z,583ed102-fb46-11e1-82cb-f4ce4684ea4c,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,Denver Nuggets,Sacramento Kings,105,110
2014,f027f5c6-8a0e-4279-bf3d-7ab24f09d9f9,2014-11-04T03:30:00Z,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,583ece50-fb46-11e1-82cb-f4ce4684ea4c,Los Angeles Clippers,Utah Jazz,107,101
2014,4ccfd7fd-0f6b-41d0-9caf-7526a919d664,2014-11-05T00:00:00Z,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,Indiana Pacers,Milwaukee Bucks,81,87
2014,697f88ea-43f0-45cd-9629-ac64e373be32,2014-11-05T00:30:00Z,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,Miami Heat,Houston Rockets,91,108
2014,6e5e0939-1cfc-4fe8-89e7-a2bfcdd6ea3c,2014-11-05T00:30:00Z,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,New York Knicks,Washington Wizards,83,98
2014,b3837ebc-1da0-44bc-97cb-31a7c9071f6e,2014-11-05T00:30:00Z,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,Toronto Raptors,Oklahoma City Thunder,100,88
2014,4765c96e-6477-49ea-851e-1d28b4d4cf69,2014-11-05T01:00:00Z,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,New Orleans Pelicans,Charlotte Hornets,100,91
2014,6fa88e6c-880b-4187-b3d7-94df60471a86,2014-11-05T01:00:00Z,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,583ed157-fb46-11e1-82cb-f4ce4684ea4c,Chicago Bulls,Orlando Magic,98,90
2014,1bac4051-64c8-4a4a-b576-8cdfebf1d2a8,2014-11-05T03:00:00Z,583ed056-fb46-11e1-82cb-f4ce4684ea4c,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Portland Trail Blazers,Cleveland Cavaliers,101,82
2014,3cca0b76-36b1-4b34-83bd-c61f90ddd6c2,2014-11-05T03:30:00Z,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,Los Angeles Lakers,Phoenix Suns,106,112
2014,a3330ba2-22ba-4fa6-ab24-472dd689dc6a,2014-11-06T00:00:00Z,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,583ed157-fb46-11e1-82cb-f4ce4684ea4c,Philadelphia 76ers,Orlando Magic,89,91
2014,b104c20b-14d3-4b65-aa75-bd22b42808bb,2014-11-06T00:00:00Z,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,Charlotte Hornets,Miami Heat,96,89
2014,2ffd2d13-592d-4312-8eae-6fb5c55f3600,2014-11-06T00:30:00Z,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,Boston Celtics,Toronto Raptors,107,110
2014,56ef76c7-7e2b-472c-84b3-cab917bb9cbc,2014-11-06T00:30:00Z,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,Brooklyn Nets,Minnesota Timberwolves,91,98
2014,5cee1ddd-fb5f-4ac5-97b9-dec4af91b938,2014-11-06T00:30:00Z,583ec928-fb46-11e1-82cb-f4ce4684ea4c,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,Detroit Pistons,New York Knicks,98,95
2014,47cef124-57c3-496b-841f-fa91c8ba604e,2014-11-06T01:00:00Z,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,Milwaukee Bucks,Chicago Bulls,86,95
2014,4bdc3e59-3b2d-4b62-bcc8-090e6d13c33a,2014-11-06T01:00:00Z,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,Washington Wizards,Indiana Pacers,96,94
2014,25140796-9cd4-48ac-a323-45a1f67d733e,2014-11-06T01:30:00Z,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,San Antonio Spurs,Atlanta Hawks,94,92
2014,f182fac4-424a-4910-871f-4fe68c1550d5,2014-11-06T02:00:00Z,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,583eca88-fb46-11e1-82cb-f4ce4684ea4c,Phoenix Suns,Memphis Grizzlies,91,102
2014,f2b7e21f-7c89-46bd-bb75-f5f4827f6b81,2014-11-06T02:00:00Z,583ece50-fb46-11e1-82cb-f4ce4684ea4c,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Utah Jazz,Cleveland Cavaliers,102,100
2014,ded6ff1a-bcda-4dcd-a293-591512578fba,2014-11-06T03:00:00Z,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,583ed102-fb46-11e1-82cb-f4ce4684ea4c,Sacramento Kings,Denver Nuggets,131,109
2014,a97a3ec1-bc28-44e3-abb7-286cf2495555,2014-11-06T03:30:00Z,583ec825-fb46-11e1-82cb-f4ce4684ea4c,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,Golden State Warriors,Los Angeles Clippers,121,104
2014,d9b5979a-f079-4fde-a39b-656e1b543ab1,2014-11-07T01:00:00Z,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,Houston Rockets,San Antonio Spurs,98,81
2014,0c559fc6-c3b8-428e-9c37-54e1dabe1cd6,2014-11-07T03:30:00Z,583ed056-fb46-11e1-82cb-f4ce4684ea4c,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,Portland Trail Blazers,Dallas Mavericks,108,87
2014,a0cc1017-6f53-4caa-934e-35951d977f68,2014-11-08T00:00:00Z,583ed157-fb46-11e1-82cb-f4ce4684ea4c,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,Orlando Magic,Minnesota Timberwolves,112,103
2014,b6c6fad9-f2fc-4c46-abcc-a2a606077f62,2014-11-08T00:00:00Z,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,Philadelphia 76ers,Chicago Bulls,115,118
2014,f9ff43c9-5066-4dc4-b760-093b39e80bb0,2014-11-08T00:00:00Z,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,Charlotte Hornets,Atlanta Hawks,122,119
2014,22ae3eb3-21d0-4548-8fbf-93ea1756c1c5,2014-11-08T00:30:00Z,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,Toronto Raptors,Washington Wizards,103,84
2014,7243f3bf-e192-4540-a256-749067d9f3b5,2014-11-08T00:30:00Z,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,Boston Celtics,Indiana Pacers,101,98
2014,b6672290-0891-478e-b852-abbca599ab6e,2014-11-08T00:30:00Z,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,Brooklyn Nets,New York Knicks,110,99
2014,e1105d0c-715b-43e3-b22d-0ae8630224c5,2014-11-08T00:30:00Z,583ec928-fb46-11e1-82cb-f4ce4684ea4c,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,Detroit Pistons,Milwaukee Bucks,98,95
2014,5d4b5c5a-353f-4784-9a9c-2f77f7d2abbd,2014-11-08T01:00:00Z,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,583eca88-fb46-11e1-82cb-f4ce4684ea4c,Oklahoma City Thunder,Memphis Grizzlies,89,91
2014,61d45934-857a-45e0-b9f1-7bcbfc4912e0,2014-11-08T02:00:00Z,583ece50-fb46-11e1-82cb-f4ce4684ea4c,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,Utah Jazz,Dallas Mavericks,82,105
2014,f268e7a7-65ae-4f36-80c3-739a31680cf1,2014-11-08T02:00:00Z,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,Phoenix Suns,Sacramento Kings,112,114
2014,81daaa9e-bff3-460f-ae4d-cf0c756d62ff,2014-11-08T03:30:00Z,583ed102-fb46-11e1-82cb-f4ce4684ea4c,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Denver Nuggets,Cleveland Cavaliers,101,110
2014,8b7f2a52-cb45-4c0e-a301-ea3cc163e174,2014-11-08T20:30:00Z,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,583ed056-fb46-11e1-82cb-f4ce4684ea4c,Los Angeles Clippers,Portland Trail Blazers,106,102
2014,05566194-4745-4bb8-ba56-458c0f98b0dd,2014-11-09T00:00:00Z,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,Indiana Pacers,Washington Wizards,90,97
2014,4ccc6918-73f7-4132-b1f0-5665d978b0e6,2014-11-09T00:30:00Z,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,Miami Heat,Minnesota Timberwolves,102,92
2014,59c48667-3b25-4392-bb50-5951b22c82b6,2014-11-09T00:30:00Z,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,Atlanta Hawks,New York Knicks,103,96
2014,250d8e15-54d0-4509-a401-face53a2fa5f,2014-11-09T01:00:00Z,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,Chicago Bulls,Boston Celtics,101,106
2014,f7fda459-4c6c-4d98-8bca-4062dac0ab81,2014-11-09T01:00:00Z,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,583ec825-fb46-11e1-82cb-f4ce4684ea4c,Houston Rockets,Golden State Warriors,87,98
2014,1f844614-12be-4378-a455-66ce0a25f0e4,2014-11-09T01:30:00Z,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,583eca88-fb46-11e1-82cb-f4ce4684ea4c,Milwaukee Bucks,Memphis Grizzlies,93,92
2014,d66e6417-3cff-4807-90e4-6081320f331c,2014-11-09T01:30:00Z,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,San Antonio Spurs,New Orleans Pelicans,99,100
2014,fdfa19cd-afe6-46e2-8d50-5c8c8b22b198,2014-11-09T20:30:00Z,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,583ed157-fb46-11e1-82cb-f4ce4684ea4c,Brooklyn Nets,Orlando Magic,104,96
2014,da12ad50-e477-43f0-bdbb-934bb036a42e,2014-11-09T23:00:00Z,583ec928-fb46-11e1-82cb-f4ce4684ea4c,583ece50-fb46-11e1-82cb-f4ce4684ea4c,Detroit Pistons,Utah Jazz,96,97
