year,game_id,game_date,home_team,away_team,home_name,away_name,home_pts,away_pts
2014,4ca809b6-8469-4287-af80-c3b917a2de3f,2014-10-31T00:00:00Z,583ec773-fb46-11e1-82cb-f4ce4684ea4c,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,New York Knicks,90,95
2014,4c737505-fdb2-4f61-8567-d5b49de799b8,2014-11-01T00:00:00Z,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Chicago Bulls,Cleveland Cavaliers,108,114
2014,1bac4051-64c8-4a4a-b576-8cdfebf1d2a8,2014-11-05T03:00:00Z,583ed056-fb46-11e1-82cb-f4ce4684ea4c,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Portland Trail Blazers,Cleveland Cavaliers,101,82
2014,f2b7e21f-7c89-46bd-bb75-f5f4827f6b81,2014-11-06T02:00:00Z,583ece50-fb46-11e1-82cb-f4ce4684ea4c,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Utah Jazz,Cleveland Cavaliers,102,100
2014,81daaa9e-bff3-460f-ae4d-cf0c756d62ff,2014-11-08T03:30:00Z,583ed102-fb46-11e1-82cb-f4ce4684ea4c,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Denver Nuggets,Cleveland Cavaliers,101,110
2014,e5f6803d-87e7-4ccb-a5e2-f9dd0b1cd683,2014-11-11T00:00:00Z,583ec773-fb46-11e1-82cb-f4ce4684ea4c,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,New Orleans Pelicans,118,111
2014,778e8f6b-0877-48aa-82ba-58b7e2439658,2014-11-15T00:30:00Z,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Boston Celtics,Cleveland Cavaliers,121,122
2014,7dd61135-d8b8-403d-8943-0ba84aedcb0e,2014-11-16T00:30:00Z,583ec773-fb46-11e1-82cb-f4ce4684ea4c,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,Atlanta Hawks,127,94
2014,0c45b949-87f6-45b7-83d2-545573cddf96,2014-11-18T00:00:00Z,583ec773-fb46-11e1-82cb-f4ce4684ea4c,583ed102-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,Denver Nuggets,97,106
2014,6d307d50-51be-4eb5-b329-97412bc1becf,2014-11-20T00:00:00Z,583ec773-fb46-11e1-82cb-f4ce4684ea4c,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,San Antonio Spurs,90,92
2014,af8e4163-699f-4bf8-8168-7700d208503a,2014-11-22T01:00:00Z,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Washington Wizards,Cleveland Cavaliers,91,78
2014,71244dfe-657a-4592-9ba5-f4bb44fa34fe,2014-11-23T00:30:00Z,583ec773-fb46-11e1-82cb-f4ce4684ea4c,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,Toronto Raptors,93,110
2014,48b4182f-ef7e-4261-b773-23d456e07150,2014-11-25T00:00:00Z,583ec773-fb46-11e1-82cb-f4ce4684ea4c,583ed157-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,Orlando Magic,106,74
2014,28c6a171-753c-400b-95b1-c884704667c1,2014-11-27T00:00:00Z,583ec773-fb46-11e1-82cb-f4ce4684ea4c,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,Washington Wizards,113,87
2014,8cfc4a37-bc94-4fb7-990a-45b7ba40f6bb,2014-11-30T00:30:00Z,583ec773-fb46-11e1-82cb-f4ce4684ea4c,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,Indiana Pacers,109,97
2014,5873f488-d517-402a-ba13-3e797bb78974,2014-12-03T00:00:00Z,583ec773-fb46-11e1-82cb-f4ce4684ea4c,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,Milwaukee Bucks,111,108
2014,bb636caf-d477-47c1-92cb-c945bd04c708,2014-12-05T01:00:00Z,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,583ec773-fb46-11e1-82cb-f4ce4684ea4c,New York Knicks,Cleveland Cavaliers,87,90
2014,83bc2ea2-f6fe-4a72-bd12-082232e90095,2014-12-06T00:30:00Z,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Toronto Raptors,Cleveland Cavaliers,91,105
2014,d0cce902-c42a-489f-86de-82f39cea9e5c,2014-12-09T00:30:00Z,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Brooklyn Nets,Cleveland Cavaliers,88,110
